Table 1
								
		Will extract data in this sheet from txt						
								
		name	link	raw code	clean code			
		AN - Red tagged documents - Historical series re Belize - Introduction and series v 1.4 - Series S	https://dataverse.harvard.edu/privateurl.xhtml?token=135a1006-cd54-4d9e-ba7b-d961b93f1bc4					
		AN - Purple tagged documents - 1638 sources 1.5	/Users/angelnavidad/Documents/1638_proj/data/1638 sources 1.5 safe copy.numbers					
		AN - Wikipedia - Timeline of piracy in the Bay of Honduras - References	https://en.wikipedia.org/wiki/Timeline_of_piracy_in_the_Bay_of_Honduras					
		AN - Blue tagged documents - orig data sources 1.2	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2 safe copy.numbers					
		AN - Wikipedia - Draft:English settling of Belize - References	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize					
		AN - Wikipedia - Jan Janszoon van Hoorn's expedition of 1633 - References	https://en.wikipedia.org/wiki/Jan_Janszoon_van_Hoorn%27s_expedition_of_1633					
		AN - Wikipedia - Grace Bank - References	https://en.wikipedia.org/wiki/Grace_Bank					
		AN - Wikipedia - 1543–1544 Pachecos entrada - References	https://en.wikipedia.org/wiki/1543–1544_Pachecos_entrada					
