Table 1
	sort	class	pp	record	notes					
	15	bibliographic	19	SABIN Joseph - A dictionary of books relating to America from is discovery to the present time. New-York. 1868-1891. 19 vols. 8o. (A-S).						
	16	bibliographic	20	SALVA Y MALLEN Pedro - Catalogo de la biblioteca de Salva. Valencia. 1872. 2 vols. 4o mayor.						
	17	bibliographic	20	S ANTONIO RP Joanne a - Bibliotheca franciscana universa sive alumnorum trium ordinum SPN Francisci qui ab ordine seraphico condito usque ad presente diem Latina sive alia quavis lingua scripto liquid consignarunt encyclopaedia. Matriti. 1732-33. 3 vols. fol.						
	18	bibliographic	20	SOTUELLO Nathanaele - Bibliotheca scriptorium societatis Jesu. Romae. 1676. fol.						
	19	bibliographic	20	SQUIER EG - Monograph of authors who have written on the language of Central America and collected vocabularies or composed works in the native dialects of that country. London. 1861. 4o.						
	20	bibliographic	20	TERNAUX H - Bibliothèque américaine ou catalogue des ouvrages relatifs a l’Amérique que ont paru depuis sa découverte jusqu’ a l’an 1700. Paris. 1837. 4o.						
	21	bibliographic	20	VINAZA Conde de la - Bibliografia española de lenguas indigenas de America. Madrid. 1892. 8o mayor.						
	0	imprint - 17th cent	26	1663 - 7 - Historia de Guatemala desde los tiempos de los indios hasta la fundación de la Provincia de los franciscanos: población de aquellas tierras propagation de los indios sus ritos ceremoniosa policía y gobierno por el Padre Fray Esteban Aviles franciscano de Guatemala. Guatemala en 1663: por José Pineda Ibarra. 4o						
	1	imprint - 17th cent	30-36	"1667 - 13 - Copia de carta escrita a sv Magestad D Carlos Segundo Rey de las Españas y Nuevo Mundo por Don Sebastian Alvarez Alfonso Rosica de Caldas Señor de la Casa de Caldas Cavallero de la Orden de Santiago Governador y Capitan General de las Provincias de Goatemala y Presidente de su Real Audiencia sobre la conquista redvcion y conversion de las Provincias del Lacandon en treinta de Enero desta año de mil y seiscientos y sesenta y siete con licencia impressa en Goatemala por Ioseph de Pineda Ybarra Impressor de libros año de 1667. Fol.-5, dos fojas.-Port.-v. en bl.-Texto.-Copia de carta para el Senor Conde de Penaranda Presidente del Real y Supremo Consejo de las Indias y de la Junta y Gobierno de España. Goatemala Henero 30 de 1667.-Copia de carta a los ministros del Real y Supremo Consejo de las Indias. Goatemala Henero 30 de 1667."	artículos ó capítulos sometidos por Rosica de Caldas á la consideración de SM para la conquista del Lacandon in pp 31-36 nos 1-15					
	2	imprint - 17th cent	46	1674 - 31 - Historia de la reduction y convercion de la Provincia de Tagusgalpa con la vida virtudes y prodigios de tres mártires por Fr Fernando Espino. Impresa en Guatemala por José Pineda Ibarra. 1674.						
	3	imprint - 17th cent	49-50	16683 - 34 - Alegacion en defensa del Real Fisco sobre un navío que arribó á los puertos de Guatemala por D Gerónimo Chacon y Abarca. Impreso en Guatemala por José Pineda Ibarra. 1683. fol.						
	4	imprint - 18th cent	57-58	1702 - 40 - Dissertacion iuridica academica forense y aulica quando por renuncia o ausencia del Virrey o Presidente succeden en el govierno las Reales Audiencias de estas Indias para inteligencia de la ley municipal LVII tit XV lib II y solución de las dificultades que se le han ofrecido a la de Santiago de Guatemala en la vacante de este año de 1702. Fol.-13 fojas.-Apostillado. Suscrita en Guatemala á 3 de Junio de 1702 por el Lic D Fernando de la Riva Aguero.						
	5	imprint - 18th cent	72-75	1726 - 59 - Gazeta de Goatemala organo del superior gobierno. 1729.	publicación ‘mensual al principio’ / contenido del no 1 de Nov 1729 in pp 73-74					
	6	imprint - 18th cent	77	1736 - 66 - Diario y derrotero de lo caminado visto y observado en el tiempo de la visita general de los presidios situados en las provincias internas de la Nueva España por D Pedro Ribera Villalon. Impreso en Guatemala por Sebastian de Arébalo. 1736. Fol.						
	7	imprint - 18th cent	80	1741 - 71 - Relacion de los méritos y servicios formada por D Pedro de Rivero Villalon Presidente de la Real Audiencia de Goathemala Governador y Capitan General de su Reyno para informar a SM de los que illustran y condecoran la persona de D Thomas Hermenegildo de Arena Governador y Capitan General de la Provincia de Honduras. Fol.-Dos fojas.-Suscrita en Guatemala á 18 de Octubre de 1741.						
	8	imprint - 18th cent	82	1747 - 77 - Las luces del cielo difundidas sobre el hemisferio de Guatemala por D Antonio Paz Salgado. Guatemala. 1747. 4o.						
	9	imprint - 18th cent	98-99	1774 - 106 - Extracto o relación methodica y puntual de los autos de reconocimiento practicado en virtud de comisión del Señor Presidente e la Real Audiencia de este Reino de Guatemala. Impreso con superior permiso en la oficina de D Antonio Sanchez Cubillas en el Pueblo de Mixco en la Casa que llaman de Comunidad de Santo Domingo. Año de 1774. Fol.-Dos 86 una página. Suscrito en el establecimiento provisional de la Hermita á 23 de Junio de 1774 por D Juan Gonzalez Bustillo.						
	10	imprint - 18th cent	99-100	1777 - 107 - Don Martin de Mayorga Caballero del Orden de Alcántara Capitan de Reales Guardias Españolas Mariscal de Campo de los Reales Ejércitos de su Majestad de su Consejo Presidente de esta Real Audiencia Governador y Capitan General en las Provincias y su distrito &c.-Fol.-5 paginas. Suscrito en la Nueva Guatemala de la Asunción á 16 de Junio de 1777.						
	11	imprint - 18th cent	110	1792 - 129 - Noticia y descripción del rio Motagua por D Antonio Porta. Por D Ignacio Beteta en la Nueva Guatemala año de 1792. 4o.						
	12									
	13									
	14									
	15									
	16									
	17									
	18									
	19									
	20									
	21									
	44									
	45									
	46									
	47									
	48									
	49									
	50									
	51									
	52									
	53									
	54									
	55									
	56									
	57									
	58									
	59									
	60									
	61									
	62									
	63									
	64									
	65									
	66									
	67									
	68									
	69									
	70									
	71									
	72									
	73									
	74									
	75									
	76									
	77									
	78									
	79									
	80									
	81									
	82									
	83									
	84									
	85									
	86									
	87									
	88									
	89									
	90									
	91									
	92									
	93									
	94									
	95									
	96									
	97									
	98									
	99									
	100									
	101									
	102									
	103									
	104									
	105									
	106									
	107									
	108									
	109									
	110									
	111									
	112									
	113									
	114									
	115									
	116									
	117									
	118									
	119									
	120									
	121									
	122									
	123									
	124									
	125									
	126									
	127									
	128									
	129									
	130									
	131									
	132									
	133									
	134									
	135									
	136									
	137									
	138									
	139									
	140									
	141									
	142									
	143									
	144									
	145									
	146									
	147									
	148									
	149									
	150									
	151									
	152									
	153									
	154									
	155									
	156									
	157									
	158									
	159									
	160									
	161									
	162									
	163									
	164									
	165									
	166									
	167									
	168									
	169									
	170									
	171									
	172									
	173									
	174									
	175									
	176									
	177									
	178									
	179									
	180									
	181									
	182									
	183									
	184									
	185									
	186									
	187									
	188									
	189									
	190									
	191									
	192									
	193									
	194									
	195									
	196									
	197									
	198									
	199									
	200									
	201									
	202									
	203									
	204									
	205									
	206									
	207									
	208									
	209									
	210									
	211									
