Table 1
ID	OID	PRIM	COLLECTED	FORMAT	DATE	DATE	DESCRIPTION	TITLE	TITLE	PLACE	PUB	NAME	NOTE	URL	URL	END	
	S 565	1	1	M	np	^^^	8 boxes / Coverage of 1697—1857	Harewood West Indian Archive	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13531293	https://archiveshub.jisc.ac.uk/data/gb193-lascelles%20/%20https://borthcat.york.ac.uk/index.php/lascelles	^^^	###	
	S 393	1	1	M	np	^^^	xxx xxx / Coverage of xxx—xxx	West Indiana and Special Collections	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13530503	https://libraries.sta.uwi.edu/ajl/index.php/caribbean-resources/west-indiana	^^^	###	
	S 395	1	1	M	np	^^^	xxx xxx / Coverage of xxx—xxx	West Indiana and Special Collections	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / Inc Elsa Goveia Reading Room ? / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13530151	http://aleph-app.uwimona.edu.jm:8991/F/16Q3P26RK1AA2VMV93SI943G4M88GLX1EX29J1HIPM9S68KB23-12082?func=file&file_name=base-list	^^^	###	
	S 397	1	1	M	np	^^^	xxx xxx / Coverage of xxx—xxx	West Indiana and Special Collections	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://www.cavehill.uwi.edu/mainlibrary/search/special-collections/west-indian-collection.aspx	^^^	###	
	S 385	1	1	M	np	^^^	xxx xxx / Coverage of xxx—xxx	Nettie Lee Benson Latin American Collection	np vol np no np np	^^^	^^^	np	"Previously U Tex G19-nn or U Tex Lib, G19-nn / C. E. Castañeda & J. A. Dabbs, *Guide*, [Cambridge, sn, 1939] Link: https://hdl.handle.net/2027/mdp.39015034712904"	https://www.lib.utexas.edu/about/locations/benson%20/%20https://legacy.lib.utexas.edu/taro/browse/browse_lac1.html	^^^	###	
	S 387	1	1	M	np	^^^	1 feet / Coverage of 1848—1906	"Dashiell, Jeremiah Yellot, papers"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://legacy.lib.utexas.edu/taro/utcah/01833/cah-01833.html	^^^	###	
	S 389	1	1	M	np	^^^	11 feet / Coverage of 1874—1988	Helen Madora Bisbee Papers	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	http://legacy.lib.utexas.edu/taro/ttusw/00146/tsw-00146.html	^^^	###	
	S 391	1	1	M	np	^^^	23 items / Coverage of 1808—1821	Louis-Michel Aury Papers	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	http://legacy.lib.utexas.edu/taro/utcah/00809/cah-00809.html	^^^	###	
	S 563	1	1	M	np	^^^	2 vols / Coverage of 1788—1809	Papers relating to Spain and to the Peninsular War	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13532568	https://archiveshub.jisc.ac.uk/data/gb738-ms227%20/%20https://archives.soton.ac.uk/records/MS227	^^^	###	
	S 561	1	1	P	np	^^^	940 items / Coverage of xxx—1994	Broadsides from the Colonial Era to the Present at the South Caroliniana Library	np vol np no np np	^^^	^^^	np	Previously S Car B zzz or xnp / Eg AG: https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/34415491	https://digital.library.sc.edu/collections/broadsides-from-the-colonial-era-to-the-present-at-the-south-caroliniana-library/	https://digital.library.sc.edu/collections/broadsides-from-the-colonial-era-to-the-present-at-the-south-caroliniana-library/	###	
	S 557	1	1	M	np	^^^	1 items / Coverage of 1759—1760	Journal B : commenced February 20th 1759	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://franklin.library.upenn.edu/catalog/FRANKLIN_9978029183003681	^^^	###	
	S 559	1	1	M	np	^^^	872 items / Coverage of 1705—1788	Benjamin Franklin papers	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	http://hdl.library.upenn.edu/1017/d/ead/upenn_rbml_MsColl900	^^^	###	
	S 383	1	1	M	np	^^^	xxx xxx / Coverage of xxx—xxx	Baptist Missionary Society Archives	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a?_ref=469	https://discovery.nationalarchives.gov.uk/details/c/F86455%20/%20http://theangus.rpc.ox.ac.uk/archive-search/	^^^	###	
	S 379	1	1	M	np	^^^	200 items / Coverage of 1569—1758	Central American notarial documents : 1569-1758	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://primo.lib.umn.edu/permalink/f/1jg5c4a/UMN_ALMA21455086360001701	^^^	###	
	S 381	1	1	M	np	^^^	13 feet / Coverage of 1881—2000	Records of YMCA international work in Latin America	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://archives.lib.umn.edu/repositories/7/resources/981	^^^	###	
	S 377	1	1	M	np	^^^	10 feet / Coverage of 1660—1804	"Charles Townshend papers (1660-1804, bulk 1748-1767)"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://quod.lib.umich.edu/c/clementsead/umich-wcl-M-1773tow?view=text	^^^	###	
	S 555	1	1	M	np	^^^	xxx xxx / Coverage of xxx—xxx	Manuscripts Division of the William L. Clements Library	np vol np no np np	^^^	^^^	np	Previously U Mich zzz or xnp / Possibly see eg Dutilh & Wachsmuth: https://quod-lib-umich-edu.proxygw.wrlc.org/c/clementsead/umich-wcl-M-305dut?id=navbarbrowselink;view=text / Eg Kemble papers AG: https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/?q=honduras+OR+logwood&offset=1460&label=&sort=&limit=10&extentsize=50 / Eg Pose papers UM: https://quod-lib-umich-edu.proxygw.wrlc.org/c/clementsead/umich-wcl-M-3314pot?id=navbarbrowselink;view=text / Eg AG: https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/166638830 / Eg AG: https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/84194314 / Eg AG: https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/80286496	https://clements.umich.edu/explore-collections/manuscripts/	^^^	###	
	S 553	1	1	M	np	^^^	133 vols / Coverage of 1630—1979	"R.V. Marriner Limited, Business and Personal Archive"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13533122	https://archiveshub.jisc.ac.uk/data/gb206-bus/marriner%20/%20https://explore.library.leeds.ac.uk/special-collections-explore/6951	^^^	###	
	S 375	1	1	M	np	^^^	xxx xxx / Coverage of xxx—xxx	"Rare Books and Manuscripts, Latin America and Caribbean Collection"	np vol np no np np	^^^	^^^	np	"Previously xxx or xnp / Eg West Indies papers, 1771–1829 AG: https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/19557443"	https://findingaids.uflib.ufl.edu/repositories/2/classifications/6	^^^	###	
	S 373	1	1	M	np	^^^	1 items / Coverage of 1842—1843	"Personal journal of Captain Arthur Darley, R.N."	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://library.udel.edu/special/findaids/view?docId=ead/mss0097_0018.xml	^^^	###	
	S 371	1	1	M	np	^^^	1 feet / Coverage of 1682—1968	Bryant West Indies Ephemera Collection	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://scua.library.ucf.edu/repositories/4/resources/103	^^^	###	
	S 369	1	1	M	np	^^^	xxx xxx / Coverage of xxx—xxx	Bernath Memorial Collection	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://www.library.ucsb.edu/special-collections/rare-books/bernath-memorial-collection	^^^	###	
	S 541	1	1	M	np	^^^	4 items / Coverage of 1787—1787	"Documents relating to the exploration of British Honduras, 1787 May - December"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://oac.cdlib.org/search?style=oac4;ff=0;institution=UC%2520Berkeley::Bancroft%2520Library;query=Documents%2520relating%2520to%2520the%2520exploration%2520of%2520British%2520Honduras;idT=UCb100995378%20/%20https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/37971577?p=1&q=honduras+OR+logwood	^^^	###	
	S 543	1	1	M	np	^^^	1 items / Coverage of 1763—1764	"Diario de navegacion, que desde el puerto de Cartajena de Yndias haze en la Balandra San Juan Nepomuceno el Theniente de Navio ... Antonio de Oyarvide y Heredia ... : DS, 1763-1764"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / = Microfilm ?	"https://oac.cdlib.org/search?query=Diario%2520de%2520navegacion,%2520que%2520desde%2520el%2520puerto%2520de%2520Cartajena%2520de%2520Yndias%2520haze;style=oac4;ff=0;institution=UC%2520Berkeley::Bancroft%2520Library;group=Items;institution=UC%2520Berkeley::Bancroft%2520Library;idT=UCb112322359%20/%20https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/26608979?p=1&q=honduras+OR+logwood"	^^^	###	
	S 545	1	1	M	np	^^^	1 items / Coverage of 1735—1735	"Informe del Alcalde Mayor de Tegucigalpa ... sobre el estado de los Sambos - Mosquitos y medio de esterminarlos : Guatemala City : ms.,. 1735 Oct. 31"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / = Microfilm ?	https://oac.cdlib.org/search?idT=UCb112348270%20/%20https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/26681673?p=1&q=honduras+OR+logwood	^^^	###	
	S 547	1	1	M	np	^^^	1 items / Coverage of 1813—1829	"Thomas Pickstock journal, 1813-1829"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / = Microfilm ?	"https://oac.cdlib.org/search?style=oac4;ff=0;institution=UC%2520Berkeley::Bancroft%2520Library;query=Thomas%2520Pickstock%2520journal,%25201813-1829;group=Items;institution=UC%2520Berkeley::Bancroft%2520Library;idT=UCb113440534%20/%20https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/132681276?p=1&q=honduras+OR+logwood"	^^^	###	
	S 549	1	1	M	np	^^^	1 items / Coverage of 1803—1803	"Articles of agreement indented, made, and agreed upon, for manning and fitting out on a voyage to [blank] commander"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / See OCLC 1123202280	https://search-library-ucla-edu.proxygw.wrlc.org/permalink/01UCS_LAL/trta7g/alma9990561103606533	^^^	###	
	S 551	1	1	M	np	^^^	8 feet / Coverage of 1763—1946	"Joseph Byrne Lockey Papers, 1763-1946"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://oac.cdlib.org/findaid/ark:/13030/tf1m3nb022/%20/%20https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/17_vorocdliborgoaceadprime2002uclamsslocke127xml?p=1&q=honduras+OR+logwood	^^^	###	
	S 539	1	1	M	np	^^^	22 boxes / Coverage of 1653—1998	West Indies Collection	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / Not in ARCHON	https://archiveshub.jisc.ac.uk/data/gb3-dm41%20/%20https://archives.bristol.ac.uk/Record.aspx?src=CalmView.Catalog&id=DM41&pos=1	^^^	###	
	S 367	1	1	M	np	^^^	820 feet / Coverage of 1799—2009	Church Missionary Society Archive	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13531302	https://calmview.bham.ac.uk/Record.aspx?src=Catalog&id=XCMS%20/%20https://churchmissionsociety.org/about/our-history/archives/	^^^	###	
	S 537	1	1	M	np	^^^	2 items / Coverage of 1642—1924	Papers of the Gordon families of Buthlaw and Cairness	np vol np no np np	^^^	^^^	np	"Previously xxx or xnp / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13532200 / Constituted of MS 1160: https://calm.abdn.ac.uk/archives/Record.aspx?src=CalmView.Catalog&id=MS%201160, MS 3193: https://calm.abdn.ac.uk/archives/Record.aspx?src=CalmView.Catalog&id=MS%203193"	"https://archiveshub.jisc.ac.uk/data/gb231-ms1160,ms2757,ms3193"	^^^	###	
	S 535	1	1	M	np	^^^	1 vols / Coverage of 1757—1757	Hodgson Narrative	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://archiveshub.jisc.ac.uk/data/gb103-msadd191%20/%20https://archives.ucl.ac.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=MS+ADD+191&pos=1	^^^	###	
	S 363	1	1	M	np	^^^	xxx xxx / Coverage of 1620—2016	Book A: Surveys	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / Ref SVY Book A / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13532079	https://discovery.nationalarchives.gov.uk/details/r/62af0f7d-72eb-435e-8516-aac21b15ae7c%20/%20https://www.gov.uk/guidance/the-ukho-archive	^^^	###	
	S 365	1	1	M	np	^^^	xxx xxx / Coverage of 1757—1853	Miscellaneous Papers (Remark Books)	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / Ref MP / Eg MP 29/11: https://discovery.nationalarchives.gov.uk/details/r/3cf0a2fc-10d6-428f-a9f1-8eeec74b228b	http://discovery.nationalarchives.gov.uk/details/r/6d7ad44d-7bf7-4774-9d9d-0cbcbc13e9b0%20/%20https://www.gov.uk/guidance/the-ukho-archive	^^^	###	
	S 531	1	1	M	np	^^^	1 vols / Coverage of 1830—1837	Documents used for compiling Sailing Directions	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://discovery.nationalarchives.gov.uk/details/r/adf606f2-68e3-45d6-bdc1-b3ef2f9558a6	^^^	###	
	S 533	1	1	M	np	^^^	1 vols / Coverage of 1824—1826	Triangulation Data Book: number 32	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://discovery.nationalarchives.gov.uk/details/r/90d6426d-6c8c-4cb9-b735-45b0cbe8a3b6	^^^	###	
	S 361	1	1	M	np	^^^	xxx xxx / Coverage of xxx—xxx	Latin American Library Special Collections	np vol np no np np	^^^	^^^	np	"Previously Tulane zzz or xnp / See re collection 03 [Yucatecan Letters] Link: https://archivolal.tulane.edu/?p=collections/controlcard&id=236 / See Historical Records Survey, *An Inventory of the Collections of the Middle American Research Institute No 2 Calendar of the Yucatecan Letters* [New Orleans, Middle American Research Institute, 1939] Link: https://exploreuk.uky.edu/catalog/xt7s1r6n281t /v Bolland 2 213 no 44 / Eg Collection 50-(30) Link: https://archives.tulane.edu/repositories/8/resources/3582 / Eg Collection 50-(36) Link: https://archives.tulane.edu/repositories/8/resources/2450 / Eg Item LaRC-M-1068 Link: https://archives.tulane.edu/repositories/3/resources/437 / Eg Collection 032 Link: https://archives.tulane.edu/repositories/8/resources/2310"	https://library.tulane.edu/locations/latin-american-library-special-collections	^^^	###	
	S 359	1	1	M	np	^^^	5 feet / Coverage of 1736—1951	"Document collection, Randolph Lee"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / Online catalogue not available on 14 Oct 2021 at http://yorktownmuseum.org	https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/155544450	^^^	###	
	S 357	1	1	M	np	^^^	16 items / Coverage of 1801—1817	Henry Drinker Letters to Isaac Hicks	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	http://archives.tricolib.brynmawr.edu/repositories/7/resources/8705	^^^	###	
	S 527	1	1	M	np	^^^	1 items / Coverage of 1767—1767	"Informations: William Williams and John Arnold accused of stealing a quantity of logwood from a wharf at the Old Barge House, Christchurch, belonging to Charles Harris"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13531418	https://discovery.nationalarchives.gov.uk/details/r/d4f0c450-ec15-46c8-bb07-2aa24eadd9c8%20/%20https://www.surreyarchives.org.uk/collections/getrecord/SHCOL_QS_16_211_47	^^^	###	
	S 529	1	1	M	np	^^^	1 items / Coverage of 1751—1751	"Information: Edward Yarmouth accused of stealing logwood and, with Jane McDaniel, of offering it for sale to Benjamin Newman of St Olave, Southwark, dyer"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://discovery.nationalarchives.gov.uk/details/r/38f68f22-080c-4fad-a8dc-24a2518cb08c%20/%20https://www.surreyarchives.org.uk/collections/getrecord/SHCOL_QS_16_150_55	^^^	###	
	S 355	1	1	M	np	^^^	12 feet / Coverage of 1912—1968	"Papers, Mark F. Boyd"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	"http://archivescatalog.info.florida.gov/default.asp?IDCFile=/fsa/detailss.idc,SPECIFIC=2709,DATABASE=SERIES,%20/%20http://www.worldcat.org/oclc/32413184"	^^^	###	
	S 525	1	1	M	np	^^^	1 items / Coverage of 1790—1790	"Lord Thurlow to [Granville, 1st Marquis of Stafford] Part of letter. 1st part missing...."	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13529956	https://discovery.nationalarchives.gov.uk/details/r/7920abf7-c638-4662-9956-0ec97c8b2d59%20/%20http://www.archives.staffordshire.gov.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=K1%252f15%252f1%252f1%252f11%252f3&pos=1	^^^	###	
	S 353	1	1	M	np	^^^	xxx xxx / Coverage of 1679—1981	735 Inventaris van het Archief van de Firma Hope & Co. met verwante archiefvormers	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://archief.amsterdam/inventarissen/details/735/keywords/Hope%20en%20Co./withscans/0/start/0/limit/10/flimit/5	^^^	###	
	S 339	1	1	M	np	^^^	59 boxes / Coverage of 1201—2000	HELYAR DOCUMENTS AND MUNIMENTS FROM COKER COURT. 13th century - 20th century	np vol np no np np	^^^	^^^	np	Previously Somerset DD/WHh/nn or xnp / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13532165	https://somerset-cat.swheritage.org.uk/records/DD/WHh	^^^	###	
	S 341	1	1	M	np	^^^	1 items / Coverage of 1676—1676	Informations. 5 Jun 1676	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://somerset-cat.swheritage.org.uk/records/Q/SR/130/30	^^^	###	
	S 343	1	1	M	np	^^^	20 items / Coverage of 1715—1804	Miscellaneous papers. 1715-1804	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://somerset-cat.swheritage.org.uk/records/DD/GC/75%20/%20https://discovery.nationalarchives.gov.uk/details/r/7ccad671-42b0-4443-af43-8ce92708a1b2	^^^	###	
	S 345	1	1	M	np	^^^	1 vols / Coverage of 1849—1890	Notes on the building of chapels. 1849-1890	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://somerset-cat.swheritage.org.uk/records/D/N/wsc/7/9	^^^	###	
	S 347	1	1	M	np	^^^	153 boxes / Coverage of 1545—2004	"PAPERS OF THE DICKINSON FAMILY OF KINGWESTON, 1545-2004"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://somerset-cat.swheritage.org.uk/records/DD/DN	^^^	###	
	S 349	1	1	M	np	^^^	1 vols / Coverage of 1701—1703	"Papers of William Sealy, Bridgwater. 1701-1703"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://somerset-cat.swheritage.org.uk/records/DD/X/PG/1%20/%20https://discovery.nationalarchives.gov.uk/details/r/0b456dfd-f00d-4420-a175-b6c0d7368761	^^^	###	
	S 351	1	1	M	np	^^^	510 boxes / Coverage of 1150—2003	"WYNDHAM OF ORCHARD WYNDHAM, mid 12th century-2003"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	https://somerset-cat.swheritage.org.uk/records/DD/WY	^^^	###	
	S 523	1	1	M	np	^^^	5 series / Coverage of 1697—1839	"Papers of Graffin Prankard, Bristol Merchant"	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / Ref DD/DN/7	https://somerset-cat.swheritage.org.uk/records/DD/DN/7%20/%20https://discovery.nationalarchives.gov.uk/details/r/N13564148	^^^	###	
	S 337	1	1	M	np	^^^	1441 boxes / Coverage of 1691—2018	(Wesleyan) Methodist Missionary Society Archive	np vol np no np np	^^^	^^^	np	"Previously MMS zzz or WMMS zzz / MMSL zzz / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13532306 / Inc MMSL AM-CR1 = Kenneth E. Towers, Methodism in the Tropical West SOAS: https://library.soas.ac.uk/Record/502041"	http://archives.soas.ac.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=MMS%20/%20https://archiveshub.jisc.ac.uk/data/gb102-mms	^^^	###	
	S 335	1	1	M	np	^^^	1 items / Coverage of 1779—1779	List of ships and booty taken in the Bay of Honduras 'by Capt. Luttrel with ships from Jamaica'	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / Ref WWM/R/1/1862 / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13531722	http://discovery.nationalarchives.gov.uk/details/r/8d69ce79-54e8-4c7c-9fd2-1eebed119d6e%20/%20http://www2.calmview.co.uk/SheffieldArchives/CalmView/Record.aspx?src=CalmView.Catalog&id=WWM&pos=1	^^^	###	
	S 267	1	1	M	np	^^^	215 feet / Coverage of 1890—1999	Robert Jackson Alexander papers	np vol np no np np	^^^	^^^	np	Previously xxx or xnp / xnp	http://www2.scc.rutgers.edu/ead/manuscripts/alexanderb.html	^^^	###	
