Table 1
	Imports	Exports	Import unit	Export units	GDP	GDP units
1850	197555	261015	Lsd	Lsd		
1851	289819	153777	Lsd	Lsd		
1852	202112	391223	Lsd	Lsd		
1853	198180	345377	Lsd	Lsd		
1854	241764	452313	Lsd	Lsd		
1855	245486	462591	Lsd	Lsd		
1856	251991	446649	Lsd	Lsd		
1857	268691	440271	Lsd	Lsd		
1858	207905	380377	Lsd	Lsd		
1859	173293	288161	Lsd	Lsd		
1860	200800	315918	Lsd	Lsd		
1861	231741	292576	Lsd	Lsd		
1862	211335	336390	Lsd	Lsd		
1863	265752	390644	Lsd	Lsd		
1864	291144	373197	Lsd	Lsd		
1865	210675	323170	Lsd	Lsd		
1866	169033	277156	Lsd	Lsd		
1867	190495	186169	Lsd	Lsd		
1868	177684	203659	Lsd	Lsd		
1869	151189	175033	Lsd	Lsd		
1870	184333	171988	Lsd	Lsd		
1871	180662	207672	Lsd	Lsd		
1872	167809	203560	Lsd	Lsd		
1873	236615	216993	Lsd	Lsd		
1874	178398	240628	Lsd	Lsd		
1875	175321	202512	Lsd	Lsd		
1876	163403	206420	Lsd	Lsd		
1877	165756	124503	Lsd	Lsd		
1878	191491	131007	Lsd	Lsd		
1879	159883	187673	Lsd	Lsd		
1880	237201	252855	Lsd	Lsd		
1881	201811	247403	Lsd	Lsd		
1882	232882	250633	Lsd	Lsd		
1883	268973	302870	Lsd	Lsd		
1884	237538	317449	Lsd	Lsd		
1885	254856	244280	Lsd	Lsd		
1886	172054	204201	Lsd	Lsd		
1887	160084	196833	Lsd	Lsd		
1888	200450	213020	Lsd	Lsd		
1889	260089	300879	Lsd	Lsd		
1890	282945	287690	Lsd	Lsd		
1891	272214	280521	Lsd	Lsd		
1892	230610	228536	Lsd	Lsd		
1893	169226	247318	Lsd	Lsd		
1894	151266	244335	Lsd	Lsd		
1895	299103	264197	Lsd	Lsd		
1896	300954	283663	Lsd	Lsd		
1897	292613	288969	Lsd	Lsd		
1898	256977	263908	Lsd	Lsd		
1899	212237	263090	Lsd	Lsd		
1900						
1901	B1387598	B1227202	BHD	BHD		
1902	B1362210	B1227803	BHD	BHD		
1903	364445	380931	Lsd	Lsd		
1904	361227	383120	Lsd	Lsd		
1905	385737	377246	Lsd	Lsd		
1906	452333	415018	Lsd	Lsd		
1907	496565	454491	Lsd	Lsd		
1908	550215	452592	Lsd	Lsd		
1909	555873	454077	Lsd	Lsd		
1910	579506	481900	Lsd	Lsd		
1911	593372	552091	Lsd	Lsd		
1912	718809	587096	Lsd	Lsd		
1913	654770	642613	Lsd	Lsd		
1914	612639	599970	Lsd	Lsd		
1915	441730	459601	Lsd	Lsd		
1916	531074	527384	Lsd	Lsd		
1917	574276	576165	Lsd	Lsd		
1918	732891	754113	Lsd	Lsd		
1919	965128	914477	Lsd	Lsd		
1920	1207991	1037166	Lsd	Lsd		
1921	687199	626011	Lsd	Lsd		
1922	676360	581229	Lsd	Lsd		
1923	829764	658454	Lsd	Lsd		
1924	800491	686092	Lsd	Lsd		
1925	928108	735070	Lsd	Lsd		
1926	1041275	807586	Lsd	Lsd		
1927	924446	934770	Lsd	Lsd		
1928	916109	830753	Lsd	Lsd		
1929	1039427	998540	Lsd	Lsd		
1930	1012000	932000	Lsd	Lsd		
1931	964000	633000	Lsd	Lsd		
1932	647000	404000	Lsd	Lsd		
1933	393000	243000	Lsd	Lsd		
1934	375000	298000	Lsd	Lsd		
1935	547000	348000	Lsd	Lsd		
1936	658000	485000	Lsd	Lsd		
1937	801000	524000	Lsd	Lsd		
1938	821000	668000	Lsd	Lsd		
1939	795000	567000	Lsd	Lsd		
1940	823000	754000	Lsd	Lsd		
1941	931000	833000	Lsd	Lsd		
1942	983000	634000	Lsd	Lsd		
1943	1410000	929000	Lsd	Lsd		
1944	1827000	1511000	Lsd	Lsd		
1945	1944000	1221000	Lsd	Lsd		
1946	1683000	1296000	Lsd	Lsd		
1947	2148000	1525000	Lsd	Lsd		
1948	B7669906	B6142601	BHD	BHD		
1949	B5620605	B4565847	BHD	BHD		
1950	B8782607	B4756647	BHD	BHD		
1951	B12407332	B6234131	BHD	BHD		
1952	B12671851	B6189987	BHD	BHD		
1953	B11764015	B7490907	BHD	BHD		
1954	B11409568	B7287826	BHD	BHD		
1955	B14339799	B8186875	BHD	BHD		
1956	B15850630	B9973040	BHD	BHD		
1957	B15108063	B8943401	BHD	BHD		
1958	B18516241	B9087875	BHD	BHD		
1959						
1960	B18783607	B11227455	BHD	BHD	28071888.5622288	USD
1961	B22708464	B12402302	BHD	BHD	29964370.7125857	USD
1962	B31202647	B12380520	BHD	BHD	31856922.8615428	USD
1963	B27553446	B18571994	BHD	BHD	33749405.0118998	USD
1964	B33900819		BHD		36193826.1234775	USD
