Table 1
	Treasury Hon								Market							
	Sp $	US $	Hon $	Hon £	£	d	Cf	N	Sp $	Jam £	Jd 78	Jd 93	£	Par	Cf	N
1809	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1810	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1811	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1812	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1813	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1814	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1815	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1816	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1817	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1818	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1819	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1820	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1821	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1822	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1823	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1824	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1825	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	"> 23 Mar; by Order of HM, introduced British silver to WI"
1826	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1827	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1828	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1829	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1830	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1831	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1832	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1833	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1834	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1835	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1836	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1837	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	1s Sterling = 1s 8d currency by convention made official by Act 15 Nov
1838	"BZD	1.00"			"£	0.33"	"£	0.21"		Lon 1893		"BZD	1.00"	"£	0.35"		83	"£	0.21"	167	Lon 1893	Sp. silver dollar set at 0.4.2 on 7 Sep for all WI; Martin 1839 Appendix I p 25
1839	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Lon 1893	> 21 Jun; by Proclam of Super Int.; de facto $1 = 4s	"BZD	1.00"	"£	0.35"		83	"£	0.21"	167	Lon 1893	
1840	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Lon 1893		"BZD	1.00"	"£	0.35"		83	"£	0.21"	167	Lon 1893	"> 31 Dec; by Act, Jamaica currency = Sterling"
1841	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1842	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1843	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1844	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1845	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1846	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1847	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1848	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1849	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1850	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	Amt. of Sp. silver dollars greatly diminishes in Jam; Chalmers 1893 p 112
1851	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1852	"BZD	1.00"			"£	0.31"	"£	0.21"	50	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1853	"BZD	1.00"	"$	0.98"		"£	0.31"	"£	0.21"	50	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1854	"BZD	1.00"	"$	0.98"		"£	0.31"	"£	0.21"	50	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1855	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893	Accts in Spanish silver dollars > 21 Feb	"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1856	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1857	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1858	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1859	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1860	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1861	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1862	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1863	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1864	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1865	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	"Blue book p 142
Lon 1893"		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1866	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1867	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	"Blue book p 172
Lon 1893"		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1868	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	"Blue book p 151
Lon 1893"		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1869	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	"Blue book p 135
Lon 1893"		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1870	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	"Blue book p 118
Lon 1893"		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1871	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1872	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1873	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893	Panic of 1873; silver value plummets; US + Europe move to gold std	"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1874	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1875	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	
1876	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893		"BZD	1.00"	"£	0.21"		50	"£	0.21"	100	Lon 1893	Sp. silver dollar demonetised by Act; Chalmers 1893 p 113
1877	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893									
1878	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893									
1879	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893	De jure Sp silver $ 5.125 = £ 1.0.0 Sterling								
1880	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893									
1881	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893									
1882	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893									
1883	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893									
1884	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893									
1885	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	Lon 1893									
1886	"BZD	1.00"	"$	0.98"	"BZD	1.00"		"£	0.20"	48	"C.5071 p 182
Lon 1893"									
1887	"BZD	1.00"		"BZD	1.00"		"£	0.15"	37	"BB 87 p V1
Lon 1893"	Guatemala silver $ made std > 15 Sep; C.5897-1; BB 1893 p X1								
1888	"BZD	1.00"		"BZD	1.00"		"£	0.15"	37	"C.5897-1
Lon 1893"									
1889	"BZD	1.00"		"BZD	1.00"		"£	0.14"	34	"C.6269
Lon 1893"									
1890	"BZD	1.00"		"BZD	1.00"		"£	0.14"	34	"C.6563-3
Lon 1893"									
1891	"BZD	6.49"		"BZD	6.49"		"£	1.00"	240	"BB 91 p X1
Lon 1893"	Possibly = market rather than Treasury rate								
1892	"BZD	1.00"		"BZD	1.00"		"£	0.15"	36	"C.6857-44
Lon 1893"									
1893	"BZD	1.00"		"BZD	1.00"		"£	0.14"	33	"C.7319-14
Lon 1893"	"De facto rate $ 1 = 0.2.1 < Jul; 0.2.0 thereafter, per C.7944-14"								
1894		"$	4.86"	"BZD	4.86"		"£	1.00"	240		"US gold $ on 15 Oct; C.7944-14; Accts in US gold dollars, BB p X2; De facto Gua silver $ 1 = 0.2.0, per C.7944-14"								
1895		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1896		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1897		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1898		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1899		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1900		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1901		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1902		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1903		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1904		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1905		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1906		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1907		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1908		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1909		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1910		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1911		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1912		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1913		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1914		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1915		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1916		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1917		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1918		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1919		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1920		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1921		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1922		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1923		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1924		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1925		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1926		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1927		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1928		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1929		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1930		"$	4.86"	"BZD	4.86"		"£	1.00"	240										
1931		"$	4.86"	"BZD	4.86"					UK abandons gold std. > 21 Sep; Hon stays with US gold $								
1932		"$	4.86"	"BZD	4.86"													
1933		"$	4.86"	"BZD	4.86"													
1934		"$	4.86"	"BZD	4.86"													
1935		"$	4.86"	"BZD	4.86"													
1936		"$	4.86"	"BZD	4.86"													
1937		"$	4.86"	"BZD	4.86"													
1938		"$	4.86"	"BZD	4.86"													
1939		"$	4.86"	"BZD	4.86"													
1940		"$	4.86"	"BZD	4.86"													
1941		"$	4.86"	"BZD	4.86"													
1942		"$	4.86"	"BZD	4.86"													
1943		"$	4.86"	"BZD	4.86"													
1944		"$	4.86"	"BZD	4.86"													
1945		"$	4.86"	"BZD	4.86"													
1946		"$	4.86"	"BZD	4.86"													
1947		"$	4.86"	"BZD	4.86"													
1948		"$	4.86"	"BZD	4.86"													
1949		"$	4.86"	"BZD	4.86"				Col Rep 49	B$ 1 = US$ 1 < 31 Dec; thereafter B$ 4 = £ 1								
1950			"BZD	4.00"		"£	1.00"	240										
1951			"BZD	4.00"		"£	1.00"	240										
1952			"BZD	4.00"		"£	1.00"	240	Col Rep 52									
1953			"BZD	4.00"		"£	1.00"	240										
1954			"BZD	4.00"		"£	1.00"	240										
1955			"BZD	4.00"		"£	1.00"	240										
1956			"BZD	4.00"		"£	1.00"	240										
1957			"BZD	4.00"		"£	1.00"	240										
1958			"BZD	4.00"		"£	1.00"	240										
1959			"BZD	4.00"		"£	1.00"	240										
1960			"BZD	4.00"		"£	1.00"	240										
1961			"BZD	4.00"		"£	1.00"	240										
1962			"BZD	4.00"		"£	1.00"	240										
1963			"BZD	4.00"		"£	1.00"	240										
1964			"BZD	4.00"		"£	1.00"	240										
1965			"BZD	4.00"		"£	1.00"	240										
1966			"BZD	4.00"		"£	1.00"	240										
1967			"BZD	4.00"		"£	1.00"	240										
1968			"BZD	4.00"		"£	1.00"	240										
1969			"BZD	4.00"		"£	1.00"	240										
1970			"BZD	4.00"		"£	1.00"	240										
1971			"BZD	4.00"		"£	1.00"			UK decimalises Sterling > 14 Feb; US leaves gold std > 15 Aug								
1972			"BZD	4.00"		"£	1.00"											
1973			"BZD	4.00"		"£	1.00"											
1974			"BZD	4.00"		"£	1.00"											
1975			"BZD	4.00"		"£	1.00"											
1976			"BZD	4.00"		"£	1.00"											
1977			"BZD	4.00"		"£	1.00"											
1978		"$	0.50"	"BZD	1.00"													
1979		"$	0.50"	"BZD	1.00"													
1980		"$	0.50"	"BZD	1.00"													
1981		"$	0.50"	"BZD	1.00"													
1982		"$	0.50"	"BZD	1.00"													
1983		"$	0.50"	"BZD	1.00"													
1984		"$	0.50"	"BZD	1.00"													
1985		"$	0.50"	"BZD	1.00"													
1986		"$	0.50"	"BZD	1.00"													
1987		"$	0.50"	"BZD	1.00"													
1988		"$	0.50"	"BZD	1.00"													
1989		"$	0.50"	"BZD	1.00"													
1990		"$	0.50"	"BZD	1.00"													
1991		"$	0.50"	"BZD	1.00"													
1992		"$	0.50"	"BZD	1.00"													
1993		"$	0.50"	"BZD	1.00"													
1994		"$	0.50"	"BZD	1.00"													
1995		"$	0.50"	"BZD	1.00"													
1996		"$	0.50"	"BZD	1.00"													
1997		"$	0.50"	"BZD	1.00"													
1998		"$	0.50"	"BZD	1.00"													
1999		"$	0.50"	"BZD	1.00"													
2000		"$	0.50"	"BZD	1.00"													
2001		"$	0.50"	"BZD	1.00"													
2002		"$	0.50"	"BZD	1.00"													
2003		"$	0.50"	"BZD	1.00"													
2004		"$	0.50"	"BZD	1.00"													
2005		"$	0.50"	"BZD	1.00"													
2006		"$	0.50"	"BZD	1.00"													
2007		"$	0.50"	"BZD	1.00"													
2008		"$	0.50"	"BZD	1.00"													
2009		"$	0.50"	"BZD	1.00"													
2010		"$	0.50"	"BZD	1.00"													
2011		"$	0.50"	"BZD	1.00"													
2012		"$	0.50"	"BZD	1.00"													
2013		"$	0.50"	"BZD	1.00"													
2014		"$	0.50"	"BZD	1.00"													
2015		"$	0.50"	"BZD	1.00"													
2016		"$	0.50"	"BZD	1.00"													
2017		"$	0.50"	"BZD	1.00"													
2018		"$	0.50"	"BZD	1.00"													
2019		"$	0.50"	"BZD	1.00"													
2020		"$	0.50"	"BZD	1.00"													
