Even E / Disastrous events.
ID	NO	PART OF	LOWER START	UPPER END	NAME	DESCRIPTION	NEAR	SP	ALLY	ALLY	LIVES	HELD	MOVED	CRAFT	PROPERTY	OTHER	PRESS	CF	VIA	NOTE
E 			17 February 1603	7 March 1603	Battle of Puerto Caballos		Puerto Caballos	Capt. Juan Monasterios 2 Galleons 100 militia	Christopher Newport / Sir Michael Geare / 8 Ships 400 men									xxx	Marley p144-145	cf wiki
E 			1 January 1606	28 June 1606		Buccaneers or privateers attempt twice to sack Sp galleons at Sto Tomás de Castillo	Sto. Tomás de Castillo											"Col Navarrete, XXIII, 226 ff -- a 28 jun 1606"	Goslinga p152	Figure out citation abbrev.
E 			1 March 1624	28 February 1625	Schouten Expedition	"Heeren XIX of West India Company send Pieter Schouten to reconnoitre and raid Sp, who surveys Main and islands, and sacks and destroys Ma hamlets"	"Silán, Sisal"		GWC / Pieter Schouten 3 Ships									"ARA, WIC, OC, 1, Minutes of XIX 1623-24
de Laet/Naber, 1, 36 ff
van Wassenaer, VII, 154-55"	Goslinga p152-3	Figure out citation abbrev.
E 			22 January 1627	5 September 1627	Lucifer Expedition	Hendrick Jacobszoon Lucifer of GWC takes some ships of Sp Hon fotilla	"Vlissingen, Oyapock R, Cabo de la Vela, Rio de la Hacha, Île-à-Vache, Jamaica, Cayman, Cabo de San Antonio, Straits of Florida"		GWC / Hendrick Jacobszoon Lucifer / Jan Pieterszoon / Galeyn van Stapels / 3 Ships / later joined by 2 Yachts									"Wright/van Dam, 1, *101-3/ Cristóbal Aranda to Crown, 16 jul 1627; p171 Report by Tomás de Larraspuru 10 nov 1627, and of president of Council of Indies, Madrid, 22 nov 1627"	"Goslinga p170-171
Laet portugues 154-162"	"Location /via Juiz de Fora 2012 p51
Location should include Comaribo, near or on Oyapock R /via Laet portugues 155"
E 			15 March 1628	30 September 1628	Ita Expedition	WIC send Pieter Adriaenszoon Ita against Sp			GWC / Pieter Adriaenszoon Ita / Galeyn von Stapels / 12 Ships									"de Laet/Naber, II, 34-39"	Goslinga p174-175	Galeyn von Stapels captains Fortuin with colonists for Tobago /via Wiki for Ita
E 			1 May 1630	25 September 1630	Booneter Expedition	Jan Gijsbertszoon Booneter of GWC takes some ships of Sp Hon flotilla	Bay of Hon		GWC / Jan Gijsbertszoon Booneter / Jonathan de Neckere / Cornelis Corneliszoon Jol / 8 Ships / later joins fleet of Pieter Adiraenszoon Ita									"ARA, WIC, OC, Inv. St. Gen. (West Indië) 5752, 1630-34, Jun 13, 1630 
21, Chamber of Zeeland, Minutes 1629-33, Instruction of Booneter, Jun 4, 1630
ARA, WIC, OC, 2, Minutes of the XIX 1629-45. Letter of the XIX to Booneter, Sep 2, 1630
De Laet/Naber, II, 173
ARA, WIC, OC, 21, Zeeland, Minutes 1629-33 -- Instructions for Neckere 8 Jan 1631, Secret resolution 13 Feb 1631"	Goslinga 217-224	"Inc CC Jol voyage fm Colombia to Yuc, close to Main [reconnoitring?] /via Goslinga xxx"
E 			14 June 1632	1 September 1632	Stapels Survey	"GWC sends Galeyn von Stapels to survey Yuc coast on Gulf of Mexico, and he thereafter raids and burns Sisal"	"Bonaire, Île-à-Vache, Cayman, Cape Catoche, Sisal, Campeche, Havanah"		GWC / Galeyn von Stapels / 2 Yachts 1 Sloop									"ARA, WIC, OC, 45 -- Instructions on 14 Jun 1632
1.05.01.01 Inventaris van het archief van de Oude West-Indische Compagnie (Oude WIC), 1621-174 (1711) / 50 1633-1635, tevens Curaçao, no 51"	"Goslinga p225-228
Laet portugues 357-258"	"Reached Bonaire in Jul, Sacked Sisal after this
Remove? Does not survey Hon"
E 			26 April 1633	18 September 1633	Hoorn Expedition	"GWC sends Jan Janszoon van Hoorn to sack Trujillo, though he finds the town abandoned, and thereafter proceeds to Campeche to raid San Francisco"	"Pernambuco, Barbados, Puerto Rico, île-à-Vache, Cayman, Trujillo, Cozumel, Campeche, Straits of Florida"		GWC / Jan Janszoon van Hoorn / 4 Ships 3 Yachts 3 Sloops 518 sailors 420 soldiers									"ARA, WIC, OC, 2 -- Minutes of XIX 1629-45, 3 Nov 1632
de Laet/Naber, III, 187-96
Duro, Armada Española, IV, 115-16
MEXICO,360 ff 1r—v — a 16 ago 1634"	"Goslinga p226
Laet portugues 407-413
Baudot p29 n15"	"Also raids San Francisco in Bay of Campeche, partly in order to make Maya allies per AGI item
“No dia 21, zarparam dalli [Trujillo] ... e tiveram tempo borrascoco. / No dia 25, avistaram a ilha Cozumel; é baixa e plana, de sorte que não pode ser vista de longe. / ... a corrente vae com força para o norte” /via Laet portugues 410"
E 2	2	Hos 13	1 April 1636	12 May 1636	Miskito Expedition	"Buccaneers or privateers, with Miskito allies, attempt to march on Trujillo from Mosquito Shore, but fall ill and abandon the plan, after which some roam about the Bay Islands"	"Mosquito Shore, Trujillo, Guanaja, Mosquito Islands"	Gov of Sp Hon Pedro Carrillo de Sayas / Alcalde ordinario of Tru Hernando Sarco / Capt. Andrés de Rodavallo	60 Eng 100 Mis allies / later Capt. “Nacre” / 1 Frig 25 t 30 Eng men		over 30 [SOURCE?]	"2 Neg former slaves = Tomás Verdugo, Francisco Carreño, of Cartagena, imprisoned / 1 Sp pilot impressed [possibly]"		1 Sp craft / later escaped				"GUATEMALA,16,R.2,N.13 f 1r-10r"	"Cardona Amaya p111, 24-6"	"“ordeno y mando @ne atento en el puerto de dicha ciudad [Truxillo] se hallan de Pressente tres Ffragatas las quales no son ni pueden ser de provecho ninguno en dicho Puerto antes de Daño y estorvo, y por estar la una de ellas cargada de caxones mandava se hiziessen a la vela y se bayan al puerto de matique las dos dellas que estan de vassio luego de camino, y la cargada @ntebaya primero a poner en guarda sus caxones como se le esta mandado al puerto ante llaman ffrances en la ysla de Ruatan en el qual otras muchas besses se an guardado y amparado en semejantes ocaciones” /GUATEMALA,16,R.2,N.13 f 3v, and see also “la Real Audiencia tomaría [a 5 jul 1639] varias resoluciones para asegurar la defense de su distrito [Sp Hon] ... [eg] el retiro de las mercancías del Golfo Dulce 20 leguas tierra adentro para disuadir al enemigo a atacar” /via Cardona 64, 68
Sp pilot of frigate of Diego Sánchez de Rivera, vecino of Trujillo, maestre Simón Alemán, “se llebaron un piloto platico que trayan por ser conocido de ellos que abia sido otra bes su pricionero” /GUATEMALA,16,R.2,N.13 f 4r
Imprisoned former slaves = Tomás Verdugo, Francisco Carreño, of Cartagena, previously seized by Capt. Nacre on Oct 1635, en route to Villa de Monpor in frigate of Capt. Burón. Had been to Mosquito Islands, Santa Catalina, Isla de San Andrés
Nacre = Jonathan de Neckere? /via Goslinga p221, 224, 232, 290"
E 4	4	Hos 13	1 September 1637	30 September 1637		"Eng privateers, Capt. Thomas Newman, on Providence, chased off Utila"	"Utila, Guanaja"	Gov of Sp Hon Pedro Carrillo de Sayas / Alcalde ordinario of Tru Juan Francisco Perez	Capt. Thomas Newman with 1 Ship 2 Craft			12 Eng bucc or priv held		2 Sp craft				"GUATEMALA,16,R.2,N.13 f 12v-13v, 21r-40v"	"Cardona Amaya p112, p31-xxx"	"Were anchored in western coast of Utila; one ship was Sp prize of Juan Rodriguez de Olmeda; had been on voyage from Prov or Lon since Sep 36; inform at least three pirate or priv crews interested in attacking Sp Hon = Pie de Palo, Diego el Mulato, Thomas Newman /via Cardona Amaya p45
Sp prizes = Nuestra Señora del Carmen, San Francisco Solano
Privateers under licence from King Charles I, as revenge for massacre by Sp of Eng at Tortuga
Prisoners inc = Guillermo Drode, Richard Prisinstein, Juan Pincar [possibly John Prinkard]
6 Dec 1638 -- Capt. Newman sells hides and tallow in Boston, still under commission of Prov Co /Winthrop 1 183"
