C1—30 / Online collections of archival material.
ID	TYPE	YR	ALT ID	AUTHORS	PUBLICATION	P	TITLE	DESC	DESC	DESC	DESC	DESC	LINK				
I43	PEER	1902	Marsden 1902	R. G. Marsden	CU		"The High Court of Admiralty in Relation to National History, Commerce and the Colonisation of America. A.D. 1550-1650"						http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/3678118				
I50	PEER	1963	Ogelsby 1963	J. C. M. Ogelsby	UPR		The British and Panama — 1742	 					http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25611756				
I52	PEER	1965	Grunewald 1965	D. Grunewald	UPR		The Anglo-Guatemalan Dispute over British Honduras	 					http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25611880				
I53	PEER	1969	Sorsby 1969	W. S. Sorsby	UCL	84	"The British superintendency of the Mosquito Shore, 1749-1787"	 					"Sorsby, W. S. (1969). The british superintendency of the mosquito shore, 1749-1787 (Order No. 27822076). Available from ProQuest Dissertations & Theses Global. (2351282127). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/british-superintendency-mosquito-shore-1749-1787/docview/2351282127/se-2?accountid=11311"				
I55	PEER	1983	Gonzalez 1983	N. L. Gonzalez	KITLV	149	NEW EVIDENCE ON THE ORIGIN OF THE BLACK CARIB: WITH THOUGHTS ON THE MEANING OF TRADITION	Siege of Omoa	Settlement of Rat				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/41849126				
I56	PEER	1986	Baudot 1986	G. Baudot	UT		Dissidences indiennes et complicités flibustières dans le Yucatán du XVII e siècle	Tipu conspiracy	Bucc raids > 1638				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/40852876				
I58	PEER	1989	Rossano 1989	G. L. Rossano	FAM		Down to the Bay	 					http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/43460260				
I60	PEER	1989	Graham 1989	"E. Graham, et al."	YU		On the Fringes of Conquest: Maya-Spanish Contact in Colonial Belize	Maya conquest in Hon	Bucc raids > 1638				"Graham, E., Pendergast, D. M., & Jones, G. D. (1989). On the fringe of conquest: Maya-spanish contact in colonial belize. Science, 246(4935), 1254. Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/on-fringe-conquest-maya-spanish-contact-colonial/docview/213534015/se-2?accountid=11311"				
I61	PEER	1991	McJunkin 1991	D. M. McJunkin	UCLA		Logwood						"McJunkin, D. M. (1991). Logwood: An inquiry into the historical biogeography of haematoxylum campechianum L. and related dyewoods of the neotropics (Order No. 9113559). Available from ProQuest Dissertations & Theses Global. (303932948). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/logwood-inquiry-into-historical-biogeography/docview/303932948/se-2?accountid=11311"				
I62	PEER	1993	Breuer 1993	K. H. Breuer	UT	116	"Colonies of happenstance: The english settlements in central america, 1525-1787 "	 					"Breuer, K. H. (1993). Colonies of happenstance: The english settlements in central america, 1525-1787 (Order No. 1352917). Available from ProQuest Dissertations & Theses Global. (230667983). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/colonies-happenstance-english-settlements-central/docview/230667983/se-2?accountid=11311"				
I63	PEER	1996	Bowett 1996	A. Bowett	BU	170	The english mahogany trade 1700-1793 	 					"Bowett, A. (1996). The english mahogany trade 1700-1793 (Order No. CA47977). Available from ProQuest Dissertations & Theses Global. (304303774). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/english-mahogany-trade-1700-1793/docview/304303774/se-2?accountid=11311"				
I64	PEER	1996	Wu 1996	Y. Wu	JHU		"Jamaican trade, 1688-1769"						"Wu, Y. (1996). Jamaican trade, 1688-1769: A quantitative study (Order No. 9617624). Available from ProQuest Dissertations & Theses Global. (304300587). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/jamaican-trade-1688-1769-quantitative-study/docview/304300587/se-2?accountid=11311"				
I65	PEER	1996	Camille 1996	M. A. Camille & R. Espejo-Saavedra	UT		Historical Geography of the Belizean Logwood Trade						http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25765830				
I66	PEER	1997	Elliott 1997	P. Elliott-Wright	UL	246	"The officers of the irish brigade and the british army, 1789-98 "	Outbreak yellow fever					"Elliott-Wright, P. (1997). The officers of the irish brigade and the british army, 1789-98 (Order No. U093336). Available from ProQuest Dissertations & Theses Global. (301519802). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/officers-irish-brigade-british-army-1789-98/docview/301519802/se-2?accountid=11311"				
I69	PEER	2002	Meide 2002	C. Meide	CWM		A Plague of Ships	Sp ships					https://www.ltrr.arizona.edu/webhome/cbaisan/Florida/A_Plague_of_Ships_Spanish_Ships_and_Ship.pdf				
I73	PEER	2010	Wombwell 2010	J. A. Wombwell	CSIP		Long War Against Piracy						https://www.hsdl.org/?view&did=23760				
I75	PEER	2014	Restall 2014	M. Restall	DU		Crossing to Safety? Frontier Flight in Eighteenth-Century Belize and Yucatan	Af Slavery					https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-2694300				
I76	PEER	2017	Bialuschewski 2017	A. Bialuschewski	DU		Slaves of the Buccaneers: Mayas in Captivity in the Second Half of the Seventeenth Century						https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-3688359				
I77	PEER	2017	Hoggarth 2017	"J. A. Hoggarth, et al."	WGF		Drought and Its Demographic Effects in the Maya Lowlands	Famine 1771					https://doi.org/10.1086/690046				
I79	PEER	2020	Fischbeck 2020	S. L. Fischbeck	UW		Agricultural Terrace Productivity in the Maya Lowlands of Belize	Maya agriculture					http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.580.5403&rep=rep1&type=pdf				
I1	PRINT	1644	London 1644	W. Castell & B. Rudyerd	London	58	A short discoverie of the coasts and continent of America	"Sackings of P Cavallos 1591, 1616"					"Castell, William, et al. A short discoverie of the coasts and continent of America  from the equinoctiall northward and the adjacent isles. [s.n.], 1644. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102903240/SABN?u=camb55135&sid=SABN&xid=6db34e3d&pg=91. Accessed 19 Feb. 2021."				
