Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID	AUTHORS	EDITORS	PERIOD	PERIOD	VOLS	UNITS	JOURNAL	V	I	ITEM	REPOSITORY	CITY	COUNTRY	CITY	COUNTRY	FIRST PUB	LAST PUB	VIA	NOTE	LINK	
S 90	90	0	A	Dutt 17	R. Dutt						Americas	74	2	Business As Usual: Maya and Merchants on Yucatán-Belize border at the Onset of the Caste War						2017				https://www-cambridge-org.ezp-prod1.hul.harvard.edu/core/services/aop-cambridge-core/content/view/CF045E93489A07D590188BD66D1EAB63/S0003161517000086a.pdf/div-class-title-business-as-usual-span-class-italic-maya-and-merchants-on-yucatan-belize-border-at-the-onset-of-the-caste-war-span-div.pdf	
S 91	91	0	A	Dutt 19	R. Dutt						Hispanic American Historical Review	99	1	"Loyal Subjects at Empire's Edge: Hispanics in the Vision of a Belizean Colonial Nation, 1882–1898"						2019				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-7287962	
S 92	92	1	P	ECCACAC			xxx		1					"Brief statement, supported by original documents, of the important grants conceded to the Eastern Coast of Central America Commercial and Agricultural Company by the State of Guatemala"				London	UK	1839	1839	Gale / Making of the Modern World		https://link.gale.com/apps/doc/U0105696622/MOME?u=camb55135&sid=MOME&xid=7e4b2aed	
S 93	93	1	P	Edwards			xxx		2					"The History, Civil and Commercial, of the British Colonies in the West Indies"				London	UK	1793	1793		Printed for John Stockdale	"Gale/ECCO v1: https://link.gale.com/apps/doc/CW0103748193/ECCO?u=camb55135&sid=ECCO&xid=ed813523
Gale/ECCO v2: https://link.gale.com/apps/doc/CW0103748733/ECCO?u=camb55135&sid=ECCO&xid=d31d617d"	
S 94	94	1	MS	Egerton MS			701	1999	3942	mss				Egerton Manuscripts	British Library	London	UK					BL Catalogue			
S 95	95	0	T	Elliott	P. Elliott-Wright									"The officers of the irish brigade and the british army, 1789-98 "						1997				http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/officers-irish-brigade-british-army-1789-98/docview/301519802/se-2?accountid=11311	
S 96	96	1	MS	"ESCRIBANIA,a"			1525	1778	2864	legajos				Escribanía de Cámara de Justicia	Archivo General de Indias	Seville	Spain					PARES			
S 97	97	1	MS	"EST, d"			1509	1789	8343	legajos				Secretaría de Estado	Archivo General de Simancas	Valladolid	Spain					AGS Guía del Investigador	AGS Guía del Investigador Link: file:///Users/angelnavidad/Downloads/guia-del-investigador.pdf		
S 98	98	1	MS	"ESTADO,d"			1683	1860	105	legajos				Estado	Archivo General de Indias	Seville	Spain					PARES			
S 99	99	0	MS	Evans	D. K. Evans									A Brief History of the Bay Islands						1999				http://aboututila.com/UtilaInfo/Historical/David-Evans-Brief-History.htm	
S 100	100	1	P	Exquemeling			1666	1674	1					De Americaensche zee-roovers				Amsterdam	Netherlands	1678	1678			"https://link.gale.com/apps/doc/CY0103030375/SABN?u=camb55135&sid=SABN&xid=b83ad9b2
English translation: https://www.gutenberg.org/dirs/2/6/6/9/26690/26690-h/26690-h.htm"	
S 101	101	0	P	Fancourt	C. S. J. Fancourt				1					"The history of Yucatan, from its discovery to the close of the seventeenth century"				London	UK	1854				"Gale/Sabin Americana: https://link.gale.com/apps/doc/CY0100004060/SABN?u=camb55135&sid=SABN&xid=783b6f0e&pg=1
Google: https://www.google.com/books/edition/The_History_of_Yucatan/LOTgaZN4LPYC?hl=en&gbpv=1&printsec=frontcover"	
S 102	102	1	MS	FCO d/d			1878	2019	188	series				Records of the Foreign and Commonwealth Office and predecessors	National Archives	Kew	UK					TNA Kew Catalogue			
S 103	103	0	MS	Ferguson	"M. Ferguson, P. Pelayo, N. Encalada"									A History of Slavery & Emancipation in Belize						2019				https://ambergriscaye.com/photogallery/art/Slavery-and-Emancipation-in-Bz-by-ISCR-NICH.pdf	
S 104	104	0	P	Fernandez	C. Fernández Duro				6					Disquisiciones nauticas				Madrid	Spain	1876				http://id.lib.harvard.edu/alma/990048821940203941/catalog	
S 105	105	0	A	Ferreira	"E. S. B. Ferreira, A. N. Hulme, H. McNab, A. Quye"						Chemical Society Reviews	33	6	The natural constituents of historical textile dyes						2004				https://doi-org.ezp-prod1.hul.harvard.edu/10.1039/B305697J	
S 106	106	0	T	Finamore	D. R. Finamore									"Sailors and slaves on the wood-cutting frontier: Archaeology of the British Bay Settlement, Belize"						1994				file:///Users/angelnavidad/Downloads/Sailors_and_slaves_on_the_wood.pdf	
S 107	107	0	MS	Fischbeck	S. L. Fischbeck									Agricultural Terrace Productivity in the Maya Lowlands of Belize						2020				http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.580.5403&rep=rep1&type=pdf	
S 108	108	1	MS	FO d/d			1567	2004	1113	series				Records created or inherited by the Foreign Office	National Archives	Kew	UK					TNA Kew Catalogue			
S 109	109	0	P	Forbes	S. Forbes	E. W. Williams			1					The Baymen of Belize and how they wrested British Honduras from the Spaniards				London	UK	1914				https://ufdc.ufl.edu/UF00095345/00001	
S 110	110	1	P	FSP			1373	1974	170					British and Foreign State Papers				London	UK	1841	1977	Burdon 1		http://id.lib.harvard.edu/alma/99154275019103941/catalog	
S 111	111	0	A	Gabbert	W. Gabbert						Ethnohistory	63	1	“God Save the King of the Mosquito Nation!” Indigenous Leaders on the Fringe of the Spanish Empire						2016				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-3325406	
S 112	112	1	P	Gage			1625	1637	1					"The English-American, his travail by sea and land"				London	UK	1648	1648	Oxford DNB		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/english-american-his-travail-sea-land-new-survey/docview/2248525331/se-2?accountid=11311	
S 113	113	1	MS	GC a			1790	1843	13	vols				Grand Court of Assize	Archives and Records Service	Belmopan	Belize					Burdon 1	Inc Summary Courts in earlier vols /Burdon 1		
S 114	114	0	T	Genkins	D. Genkins									Entangled Empires: Anglo-Spanish Competition in the Seventeenth-Century Caribbean						2018				https://ir.vanderbilt.edu/bitstream/handle/1803/13282/Genkins_dissertation_final.pdf?sequence=1	
S 115	115	0	P	Gerhard	P. Gerhard				1					The Southeast Frontier of New Spain				London	UK	1979				file:///Users/angelnavidad/Downloads/Peter%20Gerhard%20-%20The%20Southeast%20Frontier%20of%20New%20Spain-University%20of%20Oklahoma%20Press%20(1993).pdf	
S 116	116	0	P	Gibbs	A. R. Gibbs				1					"British Honduras: an historical and descriptive account of the colony from its settlement, 1670"				London	UK	1883				"Readex/Afro-Americana: https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=147E02AD710C6198&svc_dat=Evans:eaidoc&req_dat=B425E5B32E784515BC5AAA87BC16A340
Google: file:///Users/angelnavidad/Downloads/British_Honduras.pdf"	
S 117	117	0	A	Gonzalez	N. L. Gonzalez						Nieuwe West-Indische Gids / New West Indian Guide	5	3/4	NEW EVIDENCE ON THE ORIGIN OF THE BLACK CARIB: WITH THOUGHTS ON THE MEANING OF TRADITION						1983				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/41849126	
S 118	118	0	P	Goslinga	C. C. Goslinga				1					The Dutch in the Caribbean				Assen	Netherlands	1971				"1971 edition: file:///Users/angelnavidad/Downloads/Cornelius%20Ch.%20Goslinga%20-%20The%20Dutch%20in%20the%20Caribbean%20and%20on%20the%20Wild%20Coast%201580-1680-Koninklijke%20Van%20Gorcum%20&%20Comp.%20N.V.%20(1971).pdf
2017 edition: file:///Users/angelnavidad/Downloads/9781947372726_Goslinga.pdf"	
S 119	119	0	P	Graham	E. Graham				1					Maya Christians and Their Churches in Sixteenth-Century Belize				Gainesville	USA	2011				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/17957	
S 120	120	0	A	Graham	"E. Graham, D. M. Pendergast, G. D. Jones"						Science	246	4935	On the Fringes of Conquest: Maya-Spanish Contact in Colonial Belize						1989				http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/on-fringe-conquest-maya-spanish-contact-colonial/docview/213534015/se-2?accountid=11311	
S 121	121	0	P	Gregg	A. R. Gregg				1					British Honduras				London	UK	1968			"London, H.M.S.O., 1968."	Cap 10: file:///Users/angelnavidad/Downloads/1ARGreggBritishHonduras10.pdf	
S 122	122	0	A	Grunewald	D. Grunewald						Caribbean Studies	5	2	The Anglo-Guatemalan Dispute over British Honduras						1965				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25611880	
S 123	123	0	P	Guatemala DNB					1					Diccionario histórico biográfico de Guatemala				Guatemala	Guatemala	2004				http://www.fundacionhcg.org/libros/dhbg/	
S 124	124	1	MS	"GUATEMALA,a"			1525	1837	971	legajos				Audiencia de Guatemala	Archivo General de Indias	Seville	Spain					PARES	PARES Link: http://pares.mcu.es/ParesBusquedas20/catalogo/search 		
S 125	125	1	P	Haefkens			xxx		1					"Centraal Amerika : uit een geschiedkundig, aardrijkskundig en statistiek oogpunt beschouwd"				Dordrecht	Netherlands	1832	1832	Barke 16 182	"Sp edition by Theodora J. M. van Lottum, Guatemala, Editorial Universitaria, 1969"	Dutch: https://www.google.com/books/edition/Centraal_Amerika/QEwCAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover	
S 126	126	0	P	Hanna	M. G. Hanna				1					"Pirate Nests and the Rise of the British Empire, 1570-1740"				Chapel Hill	USA	2015				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/44065/	
S 127	127	1	S	Hansard			1803	2021	693					Hansard’s Parliamentary Debates				London	UK	1803	2021	UK Parliament		https://hansard.parliament.uk	
S 128	128	0	P	Haring	C. H. Haring				1					Buccaneers in the West Indies in the Seventeenth Century				London	UK	1910				http://www.gutenberg.org/ebooks/19139	
S 129	129	1	P	Harlow			1642	1645	1					"Camden Miscellany, volume XIII, The voyages of Captain William Jackson, 1642-5  
"				London	UK	1924	1924	RHS Catalogue	"= Camden Third Series, volume XXXIV /RHS Catalogue Link: https://royalhistsoc.org/publications/camden-series/ "	file:///Users/angelnavidad/Downloads/harlow1924.pdf	
S 130	130	0	P	Harris	J. D. Harris				1					A summer on the borders of the Caribbean Sea				New York	USA	1860				"Gutenberg: http://www.gutenberg.org/files/53418/53418-h/53418-h.htm
HathiTrust: https://hdl.handle.net/2027/loc.ark:/13960/t6155db19"	
S 131	131	1	S	HC d			1715	2021	xxx					House of Commons Papers				London	UK	1715	2021	ProQuest / UK Parliamentary Papers	Place of publication assumed	https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/search/basic/hcppbasicsearch?accountid=11311	
S 132	132	1	P	Henderson			xxx		1					"An account of the British settlement of Honduras : being a view of its commercial and agricultural resources, soil, climate, natural history, &c. : to which are added, sketches of the manners and customs of the Mosquito Indians, preceded by the journal of a voyage to the Mosquito shore ..."				London	UK	1809	1809			https://link.gale.com/apps/doc/CY0102004169/SABN?u=camb55135&sid=SABN&xid=76d2c636	
S 133	133	1	P	Herrera			1492	xxx	4					Historia general de los hechos de los castellanos en las islas i tierra firme del mar oceano 				Madrid	Spain	1601	1615		1730 edition in 8 vols at Gale/Sabin Americana	Gale/Sabin Americana v1: https://link.gale.com/apps/doc/CY0111567515/SABN?u=camb55135&sid=SABN&xid=3acb195c	
S 134	134	0	A	Hoggarth	"J. A. Hoggarth, M. Restall, J. W. Wood, D. J. Kennett"						Current Anthropology	58	1	Drought and Its Demographic Effects in the Maya Lowlands						2017				https://doi.org/10.1086/690046	
S 135	135	1	P	Hon Alm			1638	1830	5					Honduras Almanack				Belize	Belize	1826	1830	Burdon 1	1826 Extract Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A145EB27AE90296CD%40EANX-14CA6E8DB2A50AC8%402389038-14CA67053AA11820%403		
S 136	136	1	P	Honestus			1739	1741	1					"The profit and loss of Great Britain in the present war with Spain : from July 1739, to July 1741 : in a letter to a friend"				London	UK	1741	1741		"Printed for J. Roberts, ..."	https://link.gale.com/apps/doc/U0100790139/MOME?u=camb55135&sid=MOME&xid=a90ee074	
S 137	137	0	A	Hussey	R. D. Hussey						Hispanic American Historical Review	9	3	Spanish Reaction to Foreign Aggression in the Caribbean to about 1680						1929				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/2506623	
S 138	138	1	MS	"INDIFERENTE,a"			1492	1870	3169	legajos				Indiferente General	Archivo General de Indias	Seville	Spain					PARES			
S 139	139	1	P	Jam Act d y			1681	1788	7					"Acts of Assembly, passed in the island of Jamaica"				Kingston	Jamaica	1738	1790		"Inc 1681 to 1737 by John Baskett / 1681 to 1754 for Curtis Brett and Co. / 1681 to 1768 by Lowry and Sherlock / 1770 to 1783 for James Jones by Lewis and Eberall / 1681 to 1769 by Alexander Aikman, in 2 vols / 1784 to 1788 by Alexander Aikman"		
S 140	140	1	S	Jam G			1794	2021						Gazette				Kingston	Jamaica				"Gazettes 1794–1968 in CO 141
Gazette notices 1718 to c 1755 in Weekly Jamaica Courant / c 1745 to c 1775 in Jamaica Gazette / c 1760 to c 1776 in Kingston Journal / c 1781 to c 1836 in Royal Gazette"		
S 141	141	1	P	Jameson			1638	1772	1					Privateering and Piracy in the Colonial Period				New York	USA	1923	1923		Edited by J. F. Jameson	http://www.gutenberg.org/files/24882/24882-h/24882-h.htm	
S 142	142	1	P	Jarves			xxx		1					"Scenes and Scenery in the Sandwich Islands, and a Trip Through Central America Being Observations from My Note-book During the Years 1837-1842"				Boston	USA	1843	1843			https://www.google.com/books/edition/Scenes_and_Scenery_in_the_Sandwich_Islan/dawbaX-jbt4C?hl=en&gbpv=0	
S 143	143	0	P	Jarvis	M. J. Jarvis				1					"In the Eye of All Trade Bermuda, Bermudians, and the Maritime Atlantic World, 1680-1783"				Williamsburg	USA	2010				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/41104	
S 144	144	1	P	Jefferys			xxx		1					"The West-India atlas, or, A compendious description of the West-Indies : illustrated with forty correct charts and maps, taken from actual surveys : together with an historical account of the several countries and islands which compose that part of the world, their discovery, situation, extent, boundaries, product, trade, inhabitants, strength, government, religion, &c."				London	UK	1775	1775			"Book: https://link.gale.com/apps/doc/CY0110763069/SABN?u=camb55135&sid=SABN&xid=f28b570d
Map of Hon: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~2799~310048:The-Bay-of-Honduras--By-Thos--Jeffr# 
Map of Hon: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~1924~120030:Bay-of-Honduras-?qvq=w4s:/when%2F1776;q:%3D%22Honduras%22;lc:RUMSEY~8~1&mi=0&trs=1
Map of Rat: https://www.davidrumsey.com/luna/servlet/workspace/handleMediaPlayer?qvq=w4s%253A%252Fwhen%252F1775%253Bq%253A%253D%2522Honduras%2522%253Blc%253ARUMSEY%257E8%257E1&trs=3&mi=2&lunaMediaId=RUMSEY~8~1~2809~310058"	
S 145	145	1	P	Johnson			1629	1724	2					A General History of the Robberies and Murders of the most notorious Pyrates				London	UK	1724	1724		Capt Charles Johnson alias Daniel Defoe?	"Gale/ECCO: https://link.gale.com/apps/doc/CW0103162468/ECCO?u=camb55135&sid=ECCO&xid=c44a58e0
Gutenberg: http://www.gutenberg.org/files/40580/40580-h/40580-h.htm "	
S 146	146	0	P	Jones 1	G. D. Jones				1					Maya Resistance to Spanish Rule				Albuquerque	USA	1989				file:///Users/angelnavidad/Downloads/Grant%20D.%20Jones%20-%20Maya%20resistance%20to%20Spanish%20rule_%20Time%20and%20history%20on%20a%20colonial%20frontier-University%20of%20New%20Mexico%20Press%20(1989).pdf	
S 147	147	0	P	Jones 2	G. D. Jones				1					Conquest of the Last Maya Kingdom				Stanford	USA	1998				https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.03515	
S 148	148	1	P	Jones 3			1654	1656	1					"Anthropology and History in Yucatán, cap 2, The Francisco Pérez Probanza and the Matrícula of Tipu"				Austin	USA	1977	1977	Jones 1	Edited by Grant D. Jones	https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.03643	
S 149	149	0	A	Joseph	G. M. Joseph						Terrae Incognitae	12	1	John Coxon and the Role of Buccaneering in the Settlement of the Yucatán Colonial Frontier						1980				file:///Users/angelnavidad/Library/Mobile%20Documents/com~apple~Preview/Documents/joseph1980%20copy.pdf	
S 150	150	0	P	Juarros	D. Juarros				1					Compendio de la historia de la ciudad de Guatemala				Guatemala	Guatemala	1808				https://www.google.com/books/edition/Compendio_de_la_historia_de_la_ciudad_de/Uk4CAAAAYAAJ?hl=en&gbpv=0	
S 151	151	1	P	Kemble			1775	1781	2					The Kemble papers				New York	USA	1884	1885		Could not locate vol 1	Google v2: https://www.google.com/books/edition/Journals_of_Kemble_brigadier_general_in/0LwTAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover	
S 152	152	1	P	Kernkamp			xxx		1					"Bijdragen en mededelingen van het Historisch Genootschap, v 29, Zweedsche archivalia uitgegeven door G. W. Kernkamp"				Amsterdam	Netherlands	1908	1908	Goslinga		https://www.dbnl.org/tekst/_bij005190801_01/_bij005190801_01_0005.php	
S 153	153	1	P	Knight			xxx		1					"The state of the island of Jamaica. Chiefly in relation to its commerce, and the conduct of the Spaniards in the West-Indies. Address'd to a member of Parliament. By a person who resided several years at Jamaica"				London	UK	1726	1726		Printed for H. Whitridge	https://link.gale.com/apps/doc/U0100618230/MOME?u=camb55135&sid=MOME&xid=62daebbf	
S 154	154	1	P	Kon Bib PK d			1486	1853	30000	items				Pamphlets	Koninklijke Bibliotheek	Hague	Netherlands					Goslinga	Kon Bib Catalogue Link: https://www.kb.nl/en/resources-research-guides/kb-collections/early-printed-books-until-1801/pamphlets		
S 155	155	0	P	Kupperman	K. O. Kupperman				1					"Providence Island, 1630-1641: the other Puritan colony"				Cambridge	UK	1993				https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.00270	
S 156	156	0	A	Kupperman 11	K. O. Kupperman						Early American Studies	9	2	The Love-Hate Relationship with Experts in the Early Modern Atlantic						2011				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/23547648	
S 157	157	1	P	Labat			xxx		6					Nouveau voyage aux isles de l'Amérique				Paris	France	1722	1722	Gallica	1742 edition in 8 vols available at Gallica	"Gale/Making Modern World v1: https://link.gale.com/apps/doc/U0100566201/MOME?u=camb55135&sid=MOME&xid=46a2a40e
Gallica v1: https://gallica.bnf.fr/ark:/12148/bpt6k9800377b"	
S 158	158	1	P	Laet a			1624	1636	1					"Historie ofte iaerlijck verhael van de verrichtinghen der geoctroyeerde West-Indische Compagnie, zedert haer begin, tot het eynde van 't jaer sesthien-hondert ses-en-dertich; begrepen in derthien boecken, ende met verscheyden koperen platen verciert"				Leiden	Netherlands	1644	1644	Goslinga	"Laet/Naber = version edited by S. P. l'Honoré Naber = Iaerlyck verhael van de verrichtinghen der Geoctroyeerde West-Indische compagnie [Hague, Mart. Nijhoff, 1931–37], 4 vols

Laet port = Portuguese translation by Drs. Jose Hygino Duarte Pereira and Pedro Souto Maior = Historia ou annaes dos feitos da Companhia privilegiada das Indias occidentaes desde o seu começo até ao fim do anno de 1636 [Rio de Janeiro, Officinas graphicas da Bibliotheca nacional, 1916-1925], 2 vols"	"http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/historie-ofte-iaerlĳck-verhael-van-de/docview/2090303526/se-2?accountid=11311

Portuguese translation: https://hdl.handle.net/2027/mdp.39015077856105

Laet/Naber, v 4: https://resolver.kb.nl/resolve?urn=MMKB21:043711000
"	
S 159	159	1	P	Laet a			xxx		1					"Nieuwe Wereldt ofte Beschrijvinghe van West-Indien, uit veelerhande Schriften ende Aen-teekeningen van verscheyden Natien"				Leiden	Netherlands	1625	1625			"https://link.gale.com/apps/doc/U0100111972/MOME?u=camb55135&sid=MOME&xid=0893590d
Latin translation: file:///Users/angelnavidad/Downloads/Novus_orbis,_seu_descriptio_In.pdf
Spanish translation: https://hdl.handle.net/2027/txu.059173017954270"	
S 160	160	0	P	Lane	K. E. Lane				1					Pillaging the Empire				New York	USA	1998				file:///Users/angelnavidad/Downloads/9781315722269.pdf	
S 161	161	0	A	Lang	M. F. Lang						Revista de Indias	54	202	"The Armada de Barlovento, fleet despatch and transport of Mercury to Mexico, 1637-1738"						1994				http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/armada-de-barlovento-fleet-despatch-transport/docview/1300744584/se-2?accountid=11311	
S 162	162	1	P	Lara			xxx		xxx					"Museo Yucateco, Manuscritos inéditos anónimos"				Campeche	Mexico	1841	1842		"Attributed to friar José Nicolás de Lara
Copies in Biblioteca Yucatense, Mérida Mexico /v A. Taracena Arriola Link: http://www.scielo.org.mx/pdf/peni/v2n1/v2n1a1.pdf"	xxx	
S 163	163	0	P	Latimer	J. Latimer				1					Buccaneers of the Caribbean				Cambridge	USA	2009				https://doi-org.ezp-prod1.hul.harvard.edu/10.4159/9780674054172	
S 164	164	1	MS	Laws 1765–1810			1765	1810	1	vols				"Laws of Honduras, 1806–1810"	Archives and Records Service	Belmopan	Belize					Burdon 1			
S 165	165	1	P	Laws 1857			1765	1857	1					The laws of the settlement of British Honduras in force in the twentieth year of the reign of Her Majesty Queen Victoria				Belize	Belize	1857	1857	Burdon 1			
S 166	166	1	P	Laws 1881			xxx	1881	1					Laws of British Honduras in force on 31 Dec. 1881				xxx		1882	1882	Bolland 75 269			
S 167	167	0	A	Leeson	P. T. Leeson						Journal of Political Economy	115	6	An‐arrgh‐chy: The Law and Economics of Pirate Organization						2007				xxx	
S 168	168	1	MS	Lib Jam MS d			1655	2017	2521	mss				Manuscript and Archive Collection	National Library of Jamaica	Kingston	Jamaica					Lib Jam Catalogue	Lib Jam Catalogue Link: https://nlj.gov.jm/manuscripts-2/ 		
S 169	169	1	MS	LM a			1830	1843	2	vols				Legislative Assembly	Archives and Records Service	Belmopan	Belize					Burdon 2			
S 170	170	1	P	Lon 24			1814	1824	1					"The defence, &c. &c."				London	UK	1824	1824	Gale / Slavery and Anti-Slavery	"= Defence of the settlers of Honduras, Printed by A. J. Valpy"	https://link.gale.com/apps/doc/DS0103730001/SAS?u=camb55135&sid=SAS&xid=1ede003f	
S 171	171	1	P	Lon 29			1725	1729	1					Observations on the conduct of Great-Britain : with regard to the negociations and other transactions abroad				London	UK	1729	1729	Gale / Sabin Americana	Printed and sold by J. Roberts	https://link.gale.com/apps/doc/U0100653813/MOME?u=camb55135&sid=MOME&xid=1322953b	
S 172	172	1	P	Lon 32			xxx		1					"The history and lives of all the most notorious pirates, and their crews : from Capt. Avery, who first settled at Madagascar, to Capt. John Gow, and James Williams, his lieutenant, &c. who were hanged at Execution Dock, June 11, 1725, for piracy and murther ... to which is prefixed, An abstract of the laws against piracy"				London	UK	1725	1725	Gale / Sabin Americana	"Printed for Edward Midwinter, at the Looking-Glass on London-Bridge"	https://link.gale.com/apps/doc/CB0129383093/ECCO?u=camb55135&sid=ECCO&xid=9f5c40df	
S 173	173	1	P	Lon 43			xxx		1					"Certaine inducements to well minded people, who are heere straitned in their estates or otherwise or such as are willing out of noble and pub[l]ique principles, to tran[s]port themselves, or servants, or agents for them into the West-Indies, for the propagating the Gospell, and increase of trade."				London	UK	1643	1643	ProQuest / Early English Books Online		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/certaine-inducements-well-minded-people-who-are/docview/2248561152/se-2?accountid=11311	
S 174	174	1	P	Lon 62			xxx		3					"The American gazetteer : containing a distinct account of all the parts of the New world : their situation, climate, soil, produce, former and present condition : commodities, manufactures, and commerce : together with an accurate account of the cities, towns, ports, bays, rivers, lakes, mountains, passes, and fortifications ..."				London	UK	1762	1762	Gale / Sabin Americana	Printed for A. Millar [etc.]	"Gale/Sabin Americana v1: https://link.gale.com/apps/doc/CY0103933433/SABN?u=camb55135&sid=SABN&xid=1c2f0c88
Gale/Sabin Americana v2: https://link.gale.com/apps/doc/CY0103933762/SABN?u=camb55135&sid=SABN&xid=919c328b 
Gale/Sabin Americana v3: https://link.gale.com/apps/doc/CY0103934111/SABN?u=camb55135&sid=SABN&xid=0aef762d"	
S 175	175	1	P	Lon 79			1763	1779	1					"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore : in which all the accusations brought against the subjects of Great Britain settled in the bay of Honduras : and against the ancient British settlement in the free and independent dominions of the Mosquito shore : are candidly stated and refuted : and the importance of the Mosquito shore to Great Britain, delineated and ascertained ..."				London	UK	1779	1779	Gale / Sabin Americana	Printed for T. Cadell	https://link.gale.com/apps/doc/CY0100038323/SABN?u=camb55135&sid=SABN&xid=46610deb	
S 176	176	1	P	Lon 90 Narrative			1790	1790	1					"A narrative of the negotiations occasioned by the dispute between England and Spain, in the year 1790"				London	UK	1790	1790	Gale / Sabin Americana		https://link.gale.com/apps/doc/CY0102254917/SABN?u=camb55135&sid=SABN&xid=5592a75c	
S 177	177	1	S	Lon G			1665	2021						London Gazette				London	UK				"Titles = The Oxford Gazette / The London Gazette
Published in Oxford 1665–xxx"		
S 178	178	1	P	Lopez			xxx		2					Geografía y descripción universal de las Indias				Madrid	Spain	1894	1894			"Google v 1: https://www.google.com/books/edition/Geograf%C3%ADa_y_descripción_universal_de_l/inYoAQAAIAAJ?hl=en 
Google v 2: https://www.google.com/books/edition/Geograf%C3%ADa_y_descripción_universal_de_l/SzxCAAAAIAAJ?hl=en"	
S 179	179	0	P	MacLeod	M. J. MacLeod				1					"Spanish Central America: A Socioeconomic History, 1520–1720"				Berkeley	USA	1973				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/45035	
S 180	180	1	P	MacSparran			xxx		1					"America dissected : being a full and true account of all the American colonies : shewing, the intemperance of the climates : excessive heat and cold ... badness of money : danger from enemies : but, above all, the danger to the souls of the poor people that remove thither, from the multifarious wicked and pestilent heresies that prevail in those parts : in several letters, from a rev. divine of the Church of England, missionary to America ..."				Dublin	Ireland	1753	1753		Printed and sold by S. Powell	https://link.gale.com/apps/doc/CY0100561686/SABN?u=camb55135&sid=SABN&xid=3bc0a340	
S 181	181	0	T	Marcus	L. C. Marcus									"English influence on Belize and the Petén region of northern Guatemala, 1630 to 1763"						1990				file:///Users/angelnavidad/Downloads/English_influence_on_Belize_an.pdf	
S 182	182	0	P	Marley	D. F. Marley				1					Wars of the Americas				Santa Barbara	USA	1998				"file:///Users/angelnavidad/Downloads/Wars%20of%20the%20Americas%20A%20Chronology%20of%20Armed%20Conflict%20in%20the%20Western%20Hemisphere,%201492%20to%20the%20Present%20by%20David%20Marley%20(z-lib.org).pdf"	
S 183	183	0	A	Marsden	R. G. Marsden						Transactions of the Royal Historical Society	16		"The High Court of Admiralty in Relation to National History, Commerce and the Colonisation of America. A.D. 1550-1650"						1902				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/3678118	
S 184	184	0	P	Martin	R. M. Martin				1					"Statistics of the colonies of the British Empire in the West Indies, South America, North America, Asia, Austral-Asia, Africa, and Europe : comprising the area, agriculture, commerce, ... &c. of each colony : with the charters and the engraved seals"				London	UK	1839				http://id.lib.harvard.edu/alma/990073239960203941/catalog	
S 185	185	0	P	Martin 1	R. M. Martin				2					History of the West Indies				London	UK	1836				http://id.lib.harvard.edu/alma/990059826320203941/catalog	
S 186	186	0	P	Martin 2	R. M. Martin				1					Colonial policy of the British Empire				London	UK	1837				https://link.gale.com/apps/doc/U0105544982/MOME?u=camb55135&sid=MOME&xid=f7c75b1e	
